"week","oblast_name","week_number","count","intensity"
2022-03-21,"Luhanska",5,238,30.1647655259823
2022-03-21,"Lvivska",5,43,5.44993662864385
2022-03-21,"Mykolaivska",5,3,0.380228136882129
2022-03-21,"Odeska",5,20,2.53485424588086
2022-03-21,"Poltavska",5,0,0
2022-03-21,"Rivnenska",5,0,0
2022-03-21,"Sevastopol",5,0,0
2022-03-21,"Sumska",5,0,0
2022-03-21,"Ternopilska",5,0,0
2022-03-21,"Vinnytska",5,0,0
2022-03-21,"Volynska",5,0,0
2022-03-21,"Zakarpatska",5,0,0
2022-03-21,"Zaporizka",5,12,1.52091254752852
2022-03-21,"Zhytomyrska",5,90,11.4068441064639
2022-03-28,"Autonomous Republic of Crimea",6,0,0
2022-03-28,"Cherkaska",6,5,0.633713561470215
2022-03-28,"Chernihivska",6,32,4.05576679340938
2022-03-28,"Chernivetska",6,3,0.380228136882129
2022-03-28,"Dnipropetrovska",6,33,4.18250950570342
2022-03-28,"Donetska",6,115,14.575411913815
2022-03-28,"Ivano-Frankivska",6,8,1.01394169835234
2022-03-28,"Kharkivska",6,70,8.87198986058302
2022-03-28,"Khersonska",6,2,0.253485424588086
2022-03-28,"Khmelnytska",6,0,0
2022-03-28,"Kirovohradska",6,5,0.633713561470215
2022-03-28,"Kyiv",6,0,0
2022-03-28,"Kyivska",6,149,18.8846641318124
2022-03-28,"Luhanska",6,66,8.36501901140684
2022-03-28,"Lvivska",6,17,2.15462610899873
2022-03-28,"Mykolaivska",6,10,1.26742712294043
2022-03-28,"Odeska",6,16,2.02788339670469
2022-03-28,"Poltavska",6,0,0
2022-03-28,"Rivnenska",6,0,0
2022-03-28,"Sevastopol",6,0,0
2022-03-28,"Sumska",6,0,0
2022-03-28,"Ternopilska",6,0,0
2022-03-28,"Vinnytska",6,1,0.126742712294043
2022-03-28,"Volynska",6,0,0
2022-03-28,"Zakarpatska",6,0,0
2022-03-28,"Zaporizka",6,12,1.52091254752852
2022-03-28,"Zhytomyrska",6,74,9.37896070975919
2022-04-04,"Autonomous Republic of Crimea",7,0,0
2022-04-04,"Cherkaska",7,0,0
2022-04-04,"Chernihivska",7,3,0.380228136882129
2022-04-04,"Chernivetska",7,6,0.760456273764259
2022-04-04,"Dnipropetrovska",7,28,3.54879594423321
2022-04-04,"Donetska",7,51,6.4638783269962
2022-04-04,"Ivano-Frankivska",7,3,0.380228136882129
2022-04-04,"Kharkivska",7,17,2.15462610899873
2022-04-04,"Khersonska",7,5,0.633713561470215
2022-04-04,"Khmelnytska",7,0,0
2022-04-04,"Kirovohradska",7,0,0
2022-04-04,"Kyiv",7,0,0
2022-04-04,"Kyivska",7,0,0
2022-04-04,"Luhanska",7,62,7.85804816223067
2022-04-04,"Lvivska",7,0,0
2022-04-04,"Mykolaivska",7,1,0.126742712294043
2022-04-04,"Odeska",7,3,0.380228136882129
2022-04-04,"Poltavska",7,0,0
2022-04-04,"Rivnenska",7,0,0
2022-04-04,"Sevastopol",7,0,0
2022-04-04,"Sumska",7,0,0
2022-04-04,"Ternopilska",7,0,0
2022-04-04,"Vinnytska",7,0,0
2022-04-04,"Volynska",7,0,0
2022-04-04,"Zakarpatska",7,0,0
2022-04-04,"Zaporizka",7,0,0
2022-04-04,"Zhytomyrska",7,0,0
2022-04-11,"Autonomous Republic of Crimea",8,0,0
2022-04-11,"Cherkaska",8,0,0
2022-04-11,"Chernihivska",8,0,0
2022-04-11,"Chernivetska",8,0,0
2022-04-11,"Dnipropetrovska",8,4,0.506970849176172
2022-04-11,"Donetska",8,4,0.506970849176172
2022-04-11,"Ivano-Frankivska",8,12,1.52091254752852
2022-04-11,"Kharkivska",8,4,0.506970849176172
2022-04-11,"Khersonska",8,0,0
2022-04-11,"Khmelnytska",8,1,0.126742712294043
2022-04-11,"Kirovohradska",8,0,0
2022-04-11,"Kyiv",8,0,0
2022-04-11,"Kyivska",8,4,0.506970849176172
2022-04-11,"Luhanska",8,6,0.760456273764259
2022-04-11,"Lvivska",8,0,0
2022-04-11,"Mykolaivska",8,0,0
2022-04-11,"Odeska",8,0,0
2022-04-11,"Poltavska",8,0,0
2022-04-11,"Rivnenska",8,0,0
2022-04-11,"Sevastopol",8,0,0
2022-04-11,"Sumska",8,0,0
2022-04-11,"Ternopilska",8,0,0
2022-04-11,"Vinnytska",8,0,0
2022-04-11,"Volynska",8,0,0
2022-04-11,"Zakarpatska",8,0,0
2022-04-11,"Zaporizka",8,0,0
2022-04-11,"Zhytomyrska",8,0,0
2022-04-18,"Autonomous Republic of Crimea",9,0,0
2022-04-18,"Cherkaska",9,0,0
2022-04-18,"Chernihivska",9,0,0
2022-04-18,"Chernivetska",9,0,0
2022-04-18,"Dnipropetrovska",9,18,2.28136882129278
2022-04-18,"Donetska",9,0,0
2022-04-18,"Ivano-Frankivska",9,0,0
2022-04-18,"Kharkivska",9,0,0
2022-04-18,"Khersonska",9,0,0
2022-04-18,"Khmelnytska",9,0,0
2022-04-18,"Kirovohradska",9,0,0
2022-04-18,"Kyiv",9,0,0
2022-04-18,"Kyivska",9,0,0
2022-04-18,"Luhanska",9,17,2.15462610899873
2022-04-18,"Lvivska",9,0,0
