"week","raion_name","week_number","count","intensity"
2022-02-21,"Henicheskyi",1,0,0
2022-02-21,"Kakhovskyi",1,2,0.619195046439629
2022-02-21,"Skadovskyi",1,0,0
2022-02-21,"Khersonskyi",1,48,14.8606811145511
2022-02-21,"Kamianets-Podilskyi",1,0,0
2022-02-21,"Khmelnytskyi",1,0,0
2022-02-21,"Shepetivskyi",1,0,0
2022-02-21,"Zvenyhorodskyi",1,0,0
2022-02-21,"Zolotoniskyi",1,0,0
2022-02-21,"Umanskyi",1,0,0
2022-02-21,"Cherkaskyi",1,0,0
2022-02-21,"Vyzhnytskyi",1,0,0
2022-02-21,"Dnistrovskyi",1,0,0
2022-02-21,"Chernivetskyi",1,0,0
2022-02-21,"Koriukivskyi",1,0,0
2022-02-21,"Nizhynskyi",1,0,0
2022-02-21,"Novhorod-Siverskyi",1,0,0
2022-02-21,"Prylutskyi",1,0,0
2022-02-21,"Chernihivskyi",1,0,0
2022-02-21,"Kyiv",1,0,0
2022-02-21,"Sevastopol",1,0,0
2022-02-28,"Bakhchysaraiskyi",2,0,0
2022-02-28,"Bilohirskyi",2,0,0
2022-02-28,"Dzhankoiskyi",2,0,0
2022-02-28,"Yevpatoriiskyi",2,0,0
2022-02-28,"Kerchenskyi",2,0,0
2022-02-28,"Kurmanskyi",2,0,0
2022-02-28,"Perekopskyi",2,0,0
2022-02-28,"Simferopolskyi",2,0,0
2022-02-28,"Feodosiiskyi",2,0,0
2022-02-28,"Yaltynskyi",2,0,0
2022-02-28,"Vinnytskyi",2,0,0
2022-02-28,"Haisynskyi",2,0,0
2022-02-28,"Zhmerynskyi",2,0,0
2022-02-28,"Mohyliv-Podilskyi",2,0,0
2022-02-28,"Tulchynskyi",2,0,0
2022-02-28,"Khmilnytskyi",2,0,0
2022-02-28,"Volodymyrskyi",2,0,0
2022-02-28,"Kamin-Kashyrskyi",2,0,0
2022-02-28,"Kovelskyi",2,0,0
2022-02-28,"Lutskyi",2,0,0
2022-02-28,"Dniprovskyi",2,0,0
2022-02-28,"Kamianskyi",2,0,0
2022-02-28,"Kryvorizkyi",2,0,0
2022-02-28,"Nikopolskyi",2,0,0
2022-02-28,"Novomoskovskyi",2,0,0
2022-02-28,"Pavlohradskyi",2,0,0
2022-02-28,"Synelnykivskyi",2,0,0
2022-02-28,"Bakhmutskyi",2,0,0
2022-02-28,"Volnovaskyi",2,0,0
2022-02-28,"Horlivskyi",2,0,0
2022-02-28,"Donetskyi",2,0,0
2022-02-28,"Kalmiuskyi",2,0,0
2022-02-28,"Kramatorskyi",2,0,0
2022-02-28,"Mariupolskyi",2,0,0
2022-02-28,"Pokrovskyi",2,0,0
2022-02-28,"Berdychivskyi",2,0,0
2022-02-28,"Zhytomyrskyi",2,0,0
2022-02-28,"Korostenskyi",2,0,0
2022-02-28,"Zviahelskyi",2,0,0
2022-02-28,"Berehivskyi",2,0,0
2022-02-28,"Mukachivskyi",2,0,0
2022-02-28,"Rakhivskyi",2,0,0
2022-02-28,"Tiachivskyi",2,0,0
2022-02-28,"Uzhhorodskyi",2,0,0
2022-02-28,"Khustskyi",2,0,0
2022-02-28,"Berdianskyi",2,0,0
2022-02-28,"Vasylivskyi",2,1,0.309597523219814
2022-02-28,"Zaporizkyi",2,0,0
2022-02-28,"Melitopolskyi",2,0,0
2022-02-28,"Polohivskyi",2,0,0
2022-02-28,"Verkhovynskyi",2,0,0
2022-02-28,"Ivano-Frankivskyi",2,0,0
2022-02-28,"Kaluskyi",2,0,0
2022-02-28,"Kolomyiskyi",2,0,0
2022-02-28,"Kosivskyi",2,0,0
2022-02-28,"Nadvirnianskyi",2,0,0
2022-02-28,"Chornobyl Exclusion Zone",2,0,0
2022-02-28,"Bilotserkivskyi",2,0,0
2022-02-28,"Boryspilskyi",2,0,0
2022-02-28,"Brovarskyi",2,0,0
2022-02-28,"Buchanskyi",2,6,1.85758513931889
2022-02-28,"Vyshhorodskyi",2,0,0
2022-02-28,"Obukhivskyi",2,0,0
2022-02-28,"Fastivskyi",2,0,0
2022-02-28,"Holovanivskyi",2,0,0
2022-02-28,"Kropyvnytskyi",2,0,0
2022-02-28,"Novoukrainskyi",2,0,0
2022-02-28,"Oleksandriiskyi",2,0,0
2022-02-28,"Alchevskyi",2,0,0
2022-02-28,"Dovzhanskyi",2,0,0
2022-02-28,"Luhanskyi",2,0,0
2022-02-28,"Rovenkivskyi",2,0,0
2022-02-28,"Svativskyi",2,0,0
2022-02-28,"Sievierodonetskyi",2,0,0
2022-02-28,"Starobilskyi",2,0,0
2022-02-28,"Shchastynskyi",2,0,0
2022-02-28,"Drohobytskyi",2,0,0
2022-02-28,"Zolochivskyi",2,0,0
2022-02-28,"Lvivskyi",2,0,0
2022-02-28,"Sambirskyi",2,0,0
2022-02-28,"Stryiskyi",2,0,0
2022-02-28,"Chervonohradskyi",2,0,0
2022-02-28,"Yavorivskyi",2,0,0
2022-02-28,"Bashtanskyi",2,0,0
2022-02-28,"Voznesenskyi",2,0,0
2022-02-28,"Mykolaivskyi",2,0,0
2022-02-28,"Pervomaiskyi",2,0,0
2022-02-28,"Berezivskyi",2,0,0
2022-02-28,"Bilhorod-Dnistrovskyi",2,0,0
2022-02-28,"Bolhradskyi",2,0,0
2022-02-28,"Izmailskyi",2,0,0
2022-02-28,"Odeskyi",2,0,0
2022-02-28,"Podilskyi",2,0,0
2022-02-28,"Rozdilnianskyi",2,0,0
2022-02-28,"Kremenchutskyi",2,0,0
2022-02-28,"Lubenskyi",2,0,0
2022-02-28,"Myrhorodskyi",2,0,0
2022-02-28,"Poltavskyi",2,0,0
2022-02-28,"Varaskyi",2,0,0
2022-02-28,"Dubenskyi",2,0,0
2022-02-28,"Rivnenskyi",2,0,0
2022-02-28,"Sarnenskyi",2,0,0
2022-02-28,"Konotopskyi",2,0,0
2022-02-28,"Okhtyrskyi",2,0,0
2022-02-28,"Romenskyi",2,0,0
2022-02-28,"Sumskyi",2,0,0
2022-02-28,"Shostkynskyi",2,0,0
2022-02-28,"Kremenetskyi",2,0,0
2022-02-28,"Ternopilskyi",2,0,0
2022-02-28,"Chortkivskyi",2,0,0
2022-02-28,"Bohodukhivskyi",2,0,0
2022-02-28,"Iziumskyi",2,0,0
2022-02-28,"Krasnohradskyi",2,0,0
2022-02-28,"Kupianskyi",2,0,0
2022-02-28,"Lozivskyi",2,0,0
2022-02-28,"Kharkivskyi",2,0,0
2022-02-28,"Chuhuivskyi",2,0,0
2022-02-28,"Beryslavskyi",2,0,0
2022-02-28,"Henicheskyi",2,0,0
2022-02-28,"Kakhovskyi",2,0,0
2022-02-28,"Skadovskyi",2,0,0
2022-02-28,"Khersonskyi",2,0,0
2022-02-28,"Kamianets-Podilskyi",2,0,0
2022-02-28,"Khmelnytskyi",2,0,0
2022-02-28,"Shepetivskyi",2,0,0
2022-02-28,"Zvenyhorodskyi",2,0,0
2022-02-28,"Zolotoniskyi",2,0,0
2022-02-28,"Umanskyi",2,0,0
2022-02-28,"Cherkaskyi",2,0,0
2022-02-28,"Vyzhnytskyi",2,0,0
2022-02-28,"Dnistrovskyi",2,0,0
2022-02-28,"Chernivetskyi",2,0,0
2022-02-28,"Koriukivskyi",2,0,0
2022-02-28,"Nizhynskyi",2,0,0
2022-02-28,"Novhorod-Siverskyi",2,0,0
2022-02-28,"Prylutskyi",2,0,0
2022-02-28,"Chernihivskyi",2,1,0.309597523219814
2022-02-28,"Kyiv",2,0,0
2022-02-28,"Sevastopol",2,0,0
2022-03-07,"Bakhchysaraiskyi",3,0,0
2022-03-07,"Bilohirskyi",3,0,0
2022-03-07,"Dzhankoiskyi",3,0,0
2022-03-07,"Yevpatoriiskyi",3,0,0
2022-03-07,"Kerchenskyi",3,0,0
2022-03-07,"Kurmanskyi",3,0,0
2022-03-07,"Perekopskyi",3,0,0
2022-03-07,"Simferopolskyi",3,0,0
2022-03-07,"Feodosiiskyi",3,0,0
2022-03-07,"Yaltynskyi",3,0,0
2022-03-07,"Vinnytskyi",3,0,0
2022-03-07,"Haisynskyi",3,0,0
2022-03-07,"Zhmerynskyi",3,0,0
2022-03-07,"Mohyliv-Podilskyi",3,0,0
2022-03-07,"Tulchynskyi",3,0,0
2022-03-07,"Khmilnytskyi",3,0,0
2022-03-07,"Volodymyrskyi",3,0,0
2022-03-07,"Kamin-Kashyrskyi",3,0,0
2022-03-07,"Kovelskyi",3,0,0
2022-03-07,"Lutskyi",3,0,0
2022-03-07,"Dniprovskyi",3,0,0
2022-03-07,"Kamianskyi",3,0,0
2022-03-07,"Kryvorizkyi",3,0,0
2022-03-07,"Nikopolskyi",3,0,0
2022-03-07,"Novomoskovskyi",3,0,0
2022-03-07,"Pavlohradskyi",3,0,0
2022-03-07,"Synelnykivskyi",3,0,0
2022-03-07,"Bakhmutskyi",3,0,0
2022-03-07,"Volnovaskyi",3,0,0
2022-03-07,"Horlivskyi",3,0,0
2022-03-07,"Donetskyi",3,0,0
2022-03-07,"Kalmiuskyi",3,0,0
2022-03-07,"Kramatorskyi",3,0,0
2022-03-07,"Mariupolskyi",3,0,0
2022-03-07,"Pokrovskyi",3,0,0
2022-03-07,"Berdychivskyi",3,0,0
2022-03-07,"Zhytomyrskyi",3,0,0
2022-03-07,"Korostenskyi",3,0,0
2022-03-07,"Zviahelskyi",3,0,0
2022-03-07,"Berehivskyi",3,0,0
2022-03-07,"Mukachivskyi",3,0,0
2022-03-07,"Rakhivskyi",3,0,0
2022-03-07,"Tiachivskyi",3,0,0
2022-03-07,"Uzhhorodskyi",3,0,0
2022-03-07,"Khustskyi",3,0,0
2022-03-07,"Berdianskyi",3,0,0
2022-03-07,"Vasylivskyi",3,0,0
2022-03-07,"Zaporizkyi",3,0,0
2022-03-07,"Melitopolskyi",3,0,0
2022-03-07,"Polohivskyi",3,0,0
2022-03-07,"Verkhovynskyi",3,0,0
2022-03-07,"Ivano-Frankivskyi",3,0,0
2022-03-07,"Kaluskyi",3,0,0
2022-03-07,"Kolomyiskyi",3,0,0
2022-03-07,"Kosivskyi",3,0,0
2022-03-07,"Nadvirnianskyi",3,0,0
2022-03-07,"Chornobyl Exclusion Zone",3,4,1.23839009287926
2022-03-07,"Bilotserkivskyi",3,0,0
2022-03-07,"Boryspilskyi",3,0,0
2022-03-07,"Brovarskyi",3,0,0
2022-03-07,"Buchanskyi",3,21,6.5015479876161
2022-03-07,"Vyshhorodskyi",3,11,3.40557275541796
2022-03-07,"Obukhivskyi",3,0,0
2022-03-07,"Fastivskyi",3,2,0.619195046439629
2022-03-07,"Holovanivskyi",3,0,0
2022-03-07,"Kropyvnytskyi",3,0,0
2022-03-07,"Novoukrainskyi",3,0,0
2022-03-07,"Oleksandriiskyi",3,0,0
2022-03-07,"Alchevskyi",3,0,0
2022-03-07,"Dovzhanskyi",3,0,0
2022-03-07,"Luhanskyi",3,0,0
2022-03-07,"Rovenkivskyi",3,0,0
2022-03-07,"Svativskyi",3,0,0
